1,Fatigue,buffs
2,Evasive Counterstrike,buffs
7,Tripped,buffs
11,Magic Defense Boost,buffs
13,Meteor Impact,buffs
15,Prayer of Protection,buffs
18,Breakthrough Shock,buffs
21,Tripped (Strong),buffs
26,Enchant Quick-eye,buffs
31,Sanctuary Emblem,buffs
34,Protect the Sacred Artifact,buffs
35,Dimensional Chasm,buffs
36,Banshee's Scream,buffs
39,Burning House,buffs
40,Claim Area,buffs
41,62286 DO NOT TRANSLATE,buffs
43,Steel Trap,buffs
48,Ankle Slash (Level 2),buffs
49,Bleeding,buffs
53,Refreshment (Rank 1),buffs
54,Bestial Leap,buffs
59,Claiming Area,buffs
63,Hammer Smash,buffs
68,Death Energy,buffs
69,Echo of Protection (Level 1),buffs
70,Unpleasant Feeling (Quickstep),buffs
71,Regeneration,buffs
76,Patience (Level 1),buffs
77,Vital Strike (Level 3),buffs
78,General Anesthesia (Level 1),buffs
79,Protection Ward of Light (Level 2),buffs
81,Ice Blade (Level 1),buffs
82,Earthen Grip,buffs
84,Leech,buffs
87,Hell Spear,buffs
90,Elemental Armor (Level 2),buffs
92,Ice Blade (Level 2),buffs
93,Ice Wall,buffs
94,Ice Shard,buffs
95,Insulating Lens (Rank 1),buffs
96,Bubble Trap,buffs
97,Floating Bubble (Rank 2),buffs
100,Meditation of Concentration (Rank 1),buffs
101,Enervated,buffs
102,Dirt in Your Eyes!,buffs
108,Feathery Body,buffs
109,Spiritual Clarity (Level 1),buffs
110,Giant Step (Level 1),buffs
111,Mental Disarray (Level 2),buffs
112,Spiritual Clarity (Level 2),buffs
114,Lassitude,buffs
115,Time of Agony (Level 1),buffs
116,Loss of Perception,buffs
118,Concentrate (level 1),buffs
121,Crippling Mire,buffs
122,Grace of the Forest,buffs
125,Self-Heal (Level 1),buffs
126,Block,buffs
127,Inspired,buffs
128,Shockwave,buffs
129,Armor Destroyer (Level 1),buffs
131,Invincibility,buffs
138,Tripped,buffs
139,Stomp (Level 1),buffs
141,Tripped,buffs
142,Evasion Stance,buffs
143,Increases All Attacks,buffs
146,Poisoned,buffs
149,Concentrate (level 2),buffs
150,Concentrate (level 3),buffs
151,Armor Destroyer (Level 2),buffs
156,Fear,buffs
157,Succubus Witch,buffs
161,Evasion (Level 1),buffs
166,Combustion,buffs
167,Bulletproof Body,buffs
168,Uppercut,buffs
169,Twilight,buffs
171,Taunt,buffs
173,Startling Strain,buffs
176,Mind's Wall (Level 1),buffs
177,Magic Reflection (Level 1),buffs
178,Leap and Knockdown (Level 1),buffs
179,Leap and Knockdown (Level 2),buffs
181,Float,buffs
182,Frenzy,buffs
183,Exhaustion,buffs
186,Strong Blow Rate Boost (Level 1),buffs
187,Gather Energy,buffs
189,Torment (Level 3),buffs
190,Devil's Lash (Level 2),buffs
191,Devil's Lash (Level 3),buffs
193,Hooked,buffs
196,Venom,buffs
197,Venom,buffs
200,Play Dead,buffs
201,62494 DO NOT TRANSLATE,buffs
202,62496 DO NOT TRANSLATE,buffs
203,Slow Curse,buffs
204,62500 DO NOT TRANSLATE,buffs
205,62502 DO NOT TRANSLATE,buffs
206,Shackle,buffs
207,62506 DO NOT TRANSLATE,buffs
208,Whirlwind (Level 1),buffs
210,62512 DO NOT TRANSLATE,buffs
211,62514 DO NOT TRANSLATE,buffs
213,62516 DO NOT TRANSLATE,buffs
214,62518 DO NOT TRANSLATE,buffs
215,62520 DO NOT TRANSLATE,buffs
218,62526 DO NOT TRANSLATE,buffs
219,62528 DO NOT TRANSLATE,buffs
